"date","TOC_Tesla","Q_HH_cfd_sum1","ADD_HH_sum1","SJPL_mgd","V_HH_af","SR_HH_cfs","CPT_cfs","Ta_HH_C","ADD_HH","Q_HH_cfd","ADD_HH_sum","Q_HH_cfd_sum","Tw_Tesla_C"
"2000-09-23",1.3,38258817153.3449,290,236.3,292900,85,382,14.16666667,21,3911269.059648,288,33336294202.6606,16.7
"2000-09-28",1.3,38258817153.3449,290,235.5,288400,81,432,17.22222222,26,0,293,33363673086.0781,14.4
"2000-10-04",1.4,33367503876.351,295,236.8,282800,65,438,18.33333333,32,0,4,14920981.391232,14.4
"2000-10-11",1.4,33367503876.351,295,234.5,276500,65,440,6.111111111,0,0,8,41198387.992704,13.3
"2000-10-19",1.4,33367503876.351,295,235.4,269300,65,478,15.55555556,8,394071.5373696,16,80354768.9304384,15.6
"2000-10-26",1.5,33367503876.351,295,234.6,263200,66,380,6.111111111,0,3869066.003328,20,116680999.74071,12.2
"2000-10-31",1.4,33367503876.351,295,235.3,259800,66,392,5.555555556,2,5158754.670816,23,161336469.860582,13.3
"2000-11-07",1.2,33367503876.351,295,236.8,254000,66,470,7.5,9,5221425.000672,30,231996817.990022,12.2
"2000-11-14",1.2,33367503876.351,295,235.7,248300,67,436,1.111111111,1,470398.648752,34,291125928.134131,12.2
"2000-11-20",1.2,33367503876.351,295,236.6,243100,66,377,7.777777778,7,5644783.78416,40,315085397.084755,12.2
"2000-11-27",1.2,33367503876.351,295,236,236700,66,431,11.11111111,14,6475821.397056,47,368789242.810291,12.2
"2000-12-04",1.1,33367503876.351,295,154.9,232700,57,125,8.888888889,5,7220289.53808,53,444873315.308371,12.2
"2000-12-11",1,33367503876.351,295,151.8,228600,57,139,6.388888889,0,4481045.672256,58,495702452.260051,13.3
"2000-12-18",0.9,33367503876.351,295,162.4,222900,56,324,5.277777778,4,12445694.95392,62,539383608.902419,12.2
"2000-12-26",0.9,33367503876.351,295,161.3,218200,57,306,4.722222222,12,1146314.0088,70,632809264.020883,10
"2001-01-02",1,33367503876.351,295,160.6,214300,45,344,9.166666667,19,733476.9707424,77,673996010.196874,11.1
"2001-01-08",0.8,33367503876.351,295,161.2,211100,45,251,8.888888889,0,5688918.944064,81,715249617.386026,10.6
"2001-01-16",1,33367503876.351,295,147.8,208500,45,2,1.111111111,2,11717741.85408,86,820509951.870922,10
"2001-01-29",0.9,33367503876.351,295,72.5,203300,40,475,1.388888889,1,8157695.089536,94,944643901.082314,10
"2001-02-05",0.9,33367503876.351,295,161.5,197000,56,585,11.66666667,8,23498578.59552,101,1050786969.12539,11.1
"2001-02-12",0.9,33367503876.351,295,160.7,191000,51,572,-0.277777778,0,20450559.63744,105,1203234990.71291,10
"2001-02-20",0.9,33367503876.351,295,161.4,184000,54,588,3.055555556,0,26505408.10752,109,1373821078.78043,10
"2001-02-26",1,33367503876.351,295,160.6,179400,54,573,4.166666667,2,23566246.9632,111,1527125252.40539,10
"2001-03-05",0.9,33367503876.351,295,227.9,174300,66,599,5,0,38923883.01792,111,1715227864.29179,10
"2001-03-13",1,33367503876.351,295,226.2,170800,51,597,9.166666667,4,38467400.8608,117,2042277269.96123,10
"2001-03-19",1,33367503876.351,295,223.8,170500,53,614,15,10,84236008.19904,123,2402306257.93307,10.55
"2001-03-27",0.9,33367503876.351,295,224.6,181400,50,625,13.05555556,3,138186180.4896,130,3353858378.51867,11.1
"2001-04-03",1,33367503876.351,295,224,194800,63,775,3.611111111,10,125679606.3072,137,4410234245.71547,10
"2001-04-09",1.2,33367503876.351,295,224,192900,68,701,2.222222222,1,62365168.7712,139,4885787208.05819,10
